Human Being	Frick off
The Excelllence	The world cup viewer sounds awesome, people will be able to do some really cool and creative things with it. With that being said, Please release something significant for Overwatch at Blizzcon. I have a theory that y'all have been stocking up on big ideas you needed a lot of time to finish and it will be announced at Blizzcon. At least I hope you will.
lasticot29	Oh my god!!! I love you so much 😭😭😭
Nicola Romanini	That V on the head ayyyy :'D
JockeyBro369	so sym gets 3 buffs and 1 rework now? why? please remove her, she clearly doesnt work
shadyever	new hero coming out soon!!
Carl Adams	You know what i will be seeing Overwatch at Blizzcon this year. Hero 29. So i'm guessing that Liao will be Hero 29.
Tactical Knowledge	Can't wait to see how Dinoflask uses this for the 'real' developer update
TurboMoisturizer 2	Not to be a buzz kill but bo2 had this a while ago
Salty Ding	Mercy is still dead :(
Glovius Lp	Another Symmetra buff -.-
Mateo Aray	._. Buff for Mercy? Is this the Upside down?
Denz The Talented Swordsman	If you guys could improve performance in team fights, that'd be great.  kthxbye.
ErMozza	A buff to Mercy? Pretty awesome
ApplesOW	Oh cool so the game is still broken
President Pixel	Blizz me daddy
Newman	POGCHAMPION OWWC VIEWER
Durak	Please come back to WoW Jeff
Hardcore Gamer	Reaper doesn't need a buff, are y'all going to remove the recovery from his teleport or give him 150 damage mid range shots?🙄🙄🙄
Sophie Rawlings	So uhr anyone want to help a mercy main figure out what that word means? What's a BUFF?
Richard Deloney	Mercy is getting a buff???? This isn't real life.
Zack Olsen	Excited for reaper buffs!
Jonas De Los Santos	MERCY BUFFS
WHAATEVEN	Jebaited by Moira thumbnail
Jade Kim	*Reinhardt mains sobbing*
ChallengerDrakava	No buffs to tracer? Lame...
Fetus Niall	Why are they buffing mercy already :(
Matthew Tolocka	Console overwatch shafted again? 1:40 yep. Of course. 2/3rd (out of Xbox, PS4, PC) the community is always treated as second-class.  Love it how Overwatch treats the community. Every dislike on this video will represent another angry console player. Please let Overwatch hear us.
Fredster	No please. No mercy buffs.
Ultimarad	I must be dreaming, buffs for 4 of my ex-mains? No way!
mandeep101 2nd Channel	Love the CSGO copy 😂
MAJ Hakosuka	was it necessary for a symmetra buff?
Silas D	VALK BUFF? Heck yes
Alexander Szczesny	nice
OG_MastaYoshi	JEFF HAS SPOKEN
Komixx	What a joke
Badboyzilla	lp
James Mccallum	So I probably couldn't do the viewer system on my Mac right?
Smug	YES! JEFF THIS IS MY #1 DREAM OVERWATCH FEATURE! SPECTATOR MODE!!! YEESSSSSS
Emelie	Mercy gets a buff?! Is that really happening?!
JRock J	Did you say MERCY BUFF?! Who are u and what have you done with Jeff?!
Razu	MY WIG FLEW FASTER THAN SPEED OF LIGHT WHEN I HEARD MERCY BUFF
awad bazzari	Please BUFF bastion!
LeLe pepe	I Love this Developer Updates!
datmushrooomboi	Finally a mercy buff
self1sch	"Can you imagine going and watching your own matches later..." Yeah, we imagine this for a couple of years now, Jeff :P
multiplayin	Perhaps instant res during valk?
Andrew Ngo	Jeff: we’ll use it for watching pro teams   Me: ok this widow has to be hacking there’s no way their aim is this good
Dani Powers	A Sym buff? THANK YOU JEFF!! <3 <3 <3
ahmad eg	Buff for mercy OMG no way
knoxious86	HLTV on a massive scale. dope.
Jakekub	montage editing will never be easier
Banana Masher	When will this be out for xbox when the next hero comes out
Epic Detonation	Mercy finally getting rebuffed!
C	Can let Mercy be absurdly OP for over a year but can't let her be underpowered for a couple of seasons lmao I guess the B.net forum Mercy mains pressured them enough.
Disgodly	Dislike for no actual balance changes or fixed social features.
sonfan	Esports >_> skips video.... Mercy Buff.... Valk......Buff..... >_>..........>_> Valk... Buff.... Sym Buff :D... Valkbuff.....>_>......  Valk is the most boring part of Mercy, sure please be good. Like Zen and Lucios Ults.
Hunter Zoloman	New update: GUUUUD
Alex Martin	Finally. Sym and Mercy mains like me get to breathe
Solar _	Jeff I love you
Breakpoint	nerf Hanzo and Widowmaker one shots, it isn't fun being shot 500 feet away from someone not in the battle hiding behind a box
Ace D.	Yussss. This is what i wanted since i started watching pro overwatch. Theres too much thats misseable that i would rather have it like a football perspective
GG Trollz	Holy f*ck finally news on a hog buff
Christin Eleven	I want a huge container Ship as a map! With 4 levels stacked! The two spawns are in the lowest part of the ship and the highest part! And the two objectives are on the second and third! It will be the first huge and stacked map! Come on guys! Please? 😁
Ensign Minneapolis	WTF You thinking Jeff, DO NOT BUFF THE MERCY. Every time she gets buffed or improved SHE BREAKS THE GAME!!!
NixUniverse	Why does he seem so nervous ?
Tonic Nest	Are the buffs in ptr?
Physical Manifestation of Cancer	Who is this strange man? I was never told it was Jeff from the Overwatch team!
xkwagmyrex	I love how adorably awkward you are in front of the camera. 💙 Never change, my dude.
Professor PEC	I literally cried when ive hearf about Mercy’s Buff😂😭
MajinJoker87	Mercy. Buff ?
c0ntraiL	OMFG YESSSSS
Widow's Bikini	I hope this isnt the only new feature
mizessa	where is i’m jeff from the overwatch team???
Sonickeyblade00	It looks like Console Players are BLASTING OFF AGAIN!
Hiddenrai	Why is this always just 8 minutes of Jeff talking at a camera? How boring can you get?
Will Rops	Mercy no Rez??????
chiara.	balance changes ..uuhu
The Traveler	I think I may have to start wearing a (world) cup.
Ali S	MERCY IS GETTING BUFFED!!! OMFG I LOVE YOU JEFF
Lemon Muffin	MERCY BUFFS!!!!! YEEEEEEESSSSSSSS  AND FIXING ROADHOGS HOOK  YEESSSSSSSSS
Maniac	Finally a demo system. Actually good to see this coming in, one of the few great things theyve done for Overwatch. Gonna be a huge use both for playing with teams (which I do) and coaching (which I also do). Words can't express how glad I am to see this finally coming in.
Matthew Terry	NERF DOOMFIST
Blas	2:41 You shouldn't have done that Jeff :D hahaha
John Patton	Careful with Mercy Jeff, one change too much and she’s back to being required in every match feeding bad players easy wins
Space	I'm so happy it's always Jeff delivering the news. Feels nice to see his face every now and then. :3
Angelo Miguel Serrano	Ok... but who are you again??
Jami Penttila	Why does Jeff blink so much?
GIT GUD	Yh symmetry needs a buff she's so underpowered and mercy too
CT7567	I’m very excited for World Cup spectator.
Peng	Watch Mercy get nerfed again right after her buff.
Ever Trejo	I just hope that the Overwatch League uses the latest patch available next season
AmbientTunes	Dinoflask cmon now
Quentin TERMINN BARTHEL	I don't really understand, is the way to watch the Blizzcon on live only for PC players? Or not?
Jack Albers	Why buff sym?
BlazeNarutoShippuden	Please make Moira's Fade 5 seconds and buff her ult's healing/self-healing.
Xander Ex	Finally they are buffing reaper
Daniel Manzano	The Mercy nerfs aren't as much a buff as they are a revert to her previous state (almost), she's able to charge her ult as fast as before, and during Valk she heals 60 dmg per second, which is knda decent, but still, pretty meh, she'll still be considered a troll pick.
Ziltoid TheOmniscient	OVERWATCH MACHINIMAS :DDDDDD
Ian Wurster	Change the speed to 1.5 and you will be able to understand faster Kapp
Matthew C	Wait where's the IT'S JEFF FROM THE OVERWATCH TEAM?
Harbenger zz	Valk changes most likely healing in valk to be 60hps in valk they could give an insta rez instead of that to make it a more versitile ult like anas healing buff to her nano  instead of valk
Edgy-Chan	R-r-r-r-Reaper?....B-b-b-b-b-BUFF?!!......oh god....daddy Jeff thank you....my boi needs it
Hector Chevez	Mercy is getting love? WHAT!
richards4000	If it makes it to PTR it's going live.
magnificent mercy main	Mercy insta rez when ult? Rez 2 people? Blizzard tell us please...
Geo Dash Busboy	He kept emphasizing "no new MAP content." He also said he has amazing announcements for BlizzCon. I do agree tho with @SI Not Found that Shrek is the new hero announced at BlizzCon. Or maybe the BlizzCon skin released will be a wrecking ball skin where he uses a belly slam as a piledrive. Don't disappoint, Blizzard!
Asthetical	POG, now when will it say "Overwatch Performance Update?" k thx love this one.
Jeff Cook	Now if all these features come into OW, just like HOTS....  Imagine being able to look at all your games, spec anyone, analyze. Sorry, it's not magic. For those are younger and unaware, timedemos were available and commonly used and shared in the 1990's in *some* games, like Quake. They went away due to laziness and/or verbal abuse reasons - although back then, communities were far better off than they are today.  Honestly, it's a feature that should be in most competitive games, and I'm somewhat frustrated when it's not available. Overwatch Dev's : this is a big step in the right direction when it comes to spectating features.
Cyber Silver	So basically activsion is allowing you to use theater mode?
Gabe Van Haecke	Someone please count how many times he says "awesome"
BluNakeo	OMG MERCY GONNA BE FINALLY BUFF <3333 And Sym Hog and Reaper too SO HAPPY
Takticus	I used my money on Mercy skin that you nerfd. not interested i bought the game twice for PC and ps4 to play no to watch someone to play.I will do not spend even a cent on your games anymore. but I like to see how you trying. I wish good luck
Bud3 The Orange Fox	Wheres the my name is Jeff from the Overwatch team gone? FUMMING
Glenn	Jayne just got buffed!
DerPavianAdrian	Hey Jeff show us some bloopers already xD!!!
O-O o3o	REAPER DOES NOT NEED BUFFS!!!!!
Nordic Animation	The only interesting thing for me in this video is the Reaper and Roadhog buffs 😁
zone killer	Black shirt new hero
Austin Woodruff	The WoW devs should just copy this format.
Lucas Mills	Just press pause randomly through the video, do it for the memes
michael shih	Finally woot, watch stream and watch in game
Android 17	SPOILER ALERT, MERCY NERFS AHEAD WITH A MEI REWORK TO GIVE HER BLIZZARD, HEAT SEEKING ICE SHARDS
KenGY	So Overwatch Viewer will become Overwatch's version of Call of Duty's Theater Mode.
Mr. Mister	That replay feature sounds awesome
DrStrangeMcDuck	Hook 1.0 is coming back run
Steel Dragon	sadly no junkrat buffs Press F to pay respects to all the sad JR mains
Chaseman2505	Anyone know that the road buffs are out
redd penn	They basically copied GOTV lol
Calvin K	REVERT THE PHARAH NERF!!!
Ash Crimson	WE NEED NERF DOOMFIST
Leon Edbert	Lets go buff for lord edgy
kittenscreed	So... Halo’s good old theater mode is finally coming back into existence, and it’s in Overwatch? Yay!
Quarren Show	Wait is  the viewer thing gonna be for console by the time World Cup comes
MayoNessa	Maximilien announced or I'll riot.
Elite-Hunter_17	My eyebrows went up when I heard "Mercy buff." Didn't know that was still possible.
JenovaDoll	I stopped playing Overwatch since Arabs took over European servers
FishNugget 501	No introduction, who is this?
Awsm2	Overwatch is slowly dying and with the addition of brig and events with nothing added to them is making the game die at a faster rate.
Andrew Petersell	Easily the most disappointing Jeff shirt.
Unity 181	OMG NOT A MERCY NERF!!!!!!!!!!
